Sector;Cave;x;y
S47Q2 ;Padre;602807.778;8539527.911
S47Q3 ;Padre;602803.117;8539526.099
S48Q1;Padre;598598.406;8537915.386
S48Q2 ;Padre;598598.958;8537910.417
S48Q3 ;Padre;598599.51;8537905.447
S49Q1 ;Padre;598603.203;8537856.681
S49Q2 ;Padre;598605.222;8537852.107
S49Q3 ;Padre;598607.24;8537847.532
S50Q1 ;Padre;598638.013;8537777.981
S50Q2 ;Padre;598639.669;8537773.264
S50Q3 ;Padre;598641.325;8537768.546
S51Q1 ;Padre;598673.168;8537675.397
S51Q2 ;Padre;598675.207;8537670.832
S51Q3 ;Padre;598677.246;8537666.267
S52Q1;Padre;598716.221;8537579.957
S52Q2 ;Padre;598717.539;8537575.134
S52Q3 ;Padre;598718.857;8537570.311
S53Q1;Padre;598742.069;8537484.02
S53Q2 ;Padre;598743.387;8537479.196
S53Q3 ;Padre;598744.705;8537474.373
S01Q1;Escrevida;605386.18;8538618.537
S01Q2;Escrevida;605391.098;8538621.244
S01Q3;Escrevida;605396.016;8538623.952
S02Q1;Escrevida;605408.43;8538614
S02Q2;Escrevida;605413.183;8538618.652
S02Q3;Escrevida;605417.937;8538623.305
S03Q1;Escrevida;605428.058;8538611.418
S03Q2;Escrevida;605432.812;8538616.071
S03Q3;Escrevida;605437.565;8538620.723
S04Q1;Escrevida;605454.883;8538612.336
S04Q2;Escrevida;605459.812;8538614.852
S04Q3;Escrevida;605464.741;8538617.369
S05Q1;Escrevida;605476.159;8538612.532
S05Q2;Escrevida;605481.088;8538615.048
S05Q3;Escrevida;605486.017;8538617.565
S06Q1;Escrevida;605518.718;8538614.019
S06Q2;Escrevida;605514.252;8538620.766
S06Q3;Escrevida;605509.786;8538627.513
S07Q1;Escrevida;605544.702;8538622.124
S07Q2;Escrevida;605540.474;8538630.13
S07Q3;Escrevida;605536.246;8538638.135
S08Q1;Escrevida;605573.895;8538644.136
S08Q2;Escrevida;605568.896;8538643.94
S08Q3;Escrevida;605563.896;8538643.743
S01Q1;Labirinto;608883.956;8538818.417
S01Q2;Labirinto;608888.874;8538821.124
S01Q3;Labirinto;608893.792;8538823.832
S02Q1;Labirinto;608895.026;8538815.036
S02Q2;Labirinto;608899.779;8538819.688
S02Q3;Labirinto;608904.533;8538824.341
S03Q1;Labirinto;608903.613;8538813.887
S03Q2;Labirinto;608908.367;8538818.54
S03Q3;Labirinto;608913.12;8538823.192
S04Q1;Labirinto;608913.391;8538815.427
S04Q2;Labirinto;608918.32;8538817.944
S04Q3;Labirinto;608923.249;8538820.46
S05Q1;Labirinto;608922.985;8538810.029
S05Q2;Labirinto;608927.914;8538812.545
S05Q3;Labirinto;608932.844;8538815.062
S06Q1;Labirinto;608949.268;8538800.093
S06Q2;Labirinto;608944.803;8538806.84
S06Q3;Labirinto;608940.337;8538813.587
S07Q1;Labirinto;608964.821;8538790.976
S07Q2;Labirinto;608960.592;8538798.981
S07Q3;Labirinto;608956.364;8538806.986
S01Q1;Boqueirao;597878.154;8537533.365
S01Q2;Boqueirao;597883.072;8537536.073
S01Q3;Boqueirao;597887.99;8537538.78
S02Q1;Boqueirao;597847.662;8537501.463
S02Q2;Boqueirao;597852.415;8537506.116
S02Q3;Boqueirao;597857.169;8537510.769
S03Q1;Boqueirao;597802.811;8537468.216
S03Q2;Boqueirao;597807.564;8537472.868
S03Q3;Boqueirao;597812.318;8537477.521
S04Q1;Boqueirao;597764.367;8537447.104
S04Q2;Boqueirao;597769.296;8537449.62
S04Q3;Boqueirao;597774.225;8537452.137
S05Q1;Boqueirao;597721.733;8537423.871
S05Q2;Boqueirao;597726.663;8537426.387
S05Q3;Boqueirao;597731.592;8537428.904
S06Q1;Boqueirao;597682.835;8537339.077
S06Q2;Boqueirao;597678.369;8537345.824
S06Q3;Boqueirao;597673.903;8537352.571
S07Q1;Boqueirao;597644.775;8537287.285
S07Q2;Boqueirao;597640.547;8537295.29
S07Q3;Boqueirao;597636.319;8537303.295
S01Q1;B_Verde;596845.402;8537348.035
S01Q2;B_Verde;596850.32;8537350.742
S01Q3;B_Verde;596855.238;8537353.45
S02Q1;B_Verde;596867.836;8537319.283
S02Q2;B_Verde;596872.589;8537323.936
S02Q3;B_Verde;596877.343;8537328.588
S03Q1;B_Verde;596909.781;8537302.985
S03Q2;B_Verde;596914.535;8537307.638
S03Q3;B_Verde;596919.288;8537312.291
S01Q1;C_Flor;609120.642;8535883.038
S01Q2;C_Flor;609125.56;8535885.746
S01Q3;C_Flor;609130.477;8535888.453
S02Q1;C_Flor;609128.225;8535894.427
S02Q2;C_Flor;609132.978;8535899.079
S02Q3;C_Flor;609137.731;8535903.732
S03Q1;C_Flor;609128.416;8535908.068
S03Q2;C_Flor;609133.169;8535912.721
S03Q3;C_Flor;609137.923;8535917.373
S01Q1;S_Geraldo;609156.328;8535753.71
S01Q2;S_Geraldo;609161.245;8535756.417
S01Q3;S_Geraldo;609166.163;8535759.124
S02Q1;S_Geraldo;609167.25;8535747.963
S02Q2;S_Geraldo;609172.004;8535752.615
S02Q3;S_Geraldo;609176.757;8535757.268
S03Q1;S_Geraldo;609179.79;8535746.38
S03Q2;S_Geraldo;609184.543;8535751.033
S03Q3;S_Geraldo;609189.297;8535755.685
S01Q1;Tunel2;609395.167;8535919.03
S01Q2;Tunel2;609400.085;8535921.737
S01Q3;Tunel2;609405.003;8535924.444
S02Q1;Tunel2;609404.066;8535918.651
S02Q2;Tunel2;609408.819;8535923.303
S02Q3;Tunel2;609413.573;8535927.956
S03Q1;Tunel2;609412.396;8535921.331
S03Q2;Tunel2;609417.149;8535925.984
S03Q3;Tunel2;609421.903;8535930.637
S01Q1;G_Cruz;600652.718;8528427.912
S01Q2;G_Cruz;600657.636;8528430.619
S01Q3;G_Cruz;600662.554;8528433.326
S02Q1;G_Cruz;600654.368;8528421.925
S02Q2;G_Cruz;600659.121;8528426.578
S02Q3;G_Cruz;600663.874;8528431.23
S01Q1;2Cobras;608377.547;8537672.609
S01Q2;2Cobras;608382.465;8537675.316
S01Q3;2Cobras;608387.383;8537678.024
S02Q1;2Cobras;608389.605;8537643.889
S02Q2;2Cobras;608394.359;8537648.541
S02Q3;2Cobras;608399.112;8537653.194
S01Q1;Cumbra;601041.756;8529524.022
S01Q2;Cumbra;601046.674;8529526.729
