setor;cave;bacia;hidro;umidade;distancia;temperatura;d.subs;d.abrigo;d.alimento;Shelter.Av.;Trophic.Av.;GU;FZ;CRC;DTV;TM;ST;DP;FG;ACT;OTO;RC;XB;MB;SB;CB;CAG;CAF;ARE;SEF;HP;ES;ESR;ESC;BM;GRR;COG
S03;Boqueirao;SF;Dis;90.7;27.22;18.9;0.533912885;0;0;20;0.6;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;20;0;0
S04;Boqueirao;SF;Dis;88;21.66;19.4;0.914951394;0;0;20;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;4;0;20;0;0
S05;Boqueirao;SF;Dis;93.8;87;22.5;1.127723301;0.605797499;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;56;10;24;0;0;0;0;0
S06;Boqueirao;SF;Dis;93.7;52.57;18.8;0.783572048;0;0;12;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;8;12;0;0
S07;Boqueirao;SF;Dis;83.3;12.4;20.3;1.313834033;0.693147181;0;60;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;30;10;0;0;0;0;0;0
S01;B_Verde;SF;Dis;85;17.7;21.8;0.565419018;0;0;18;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;18;0;0
S02;B_Verde;SF;Dis;74;8.3;24.4;0.801818553;0;0;20;10;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;20;0;0
S03;B_Verde;SF;Dis;89;3.77;21;0.754507794;0.692552532;0;14.5;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;80;0;0;3.5;7;0;0
S01;C_Flor;SF;Dis;79.5;20;22.6;1.054920168;0.636514168;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;20;0;0;0;40;0;0;0;0;0;0;0
S02;C_Flor;SF;Dis;85.1;69;22.1;1.518429516;0.994923633;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;18;12;22;0;36;0;0;0;0;0
S03;C_Flor;SF;Dis;84.7;85;22.4;1.707986186;1.514202852;0;78;0;0;0;0;0;0;0;0;0;0;0;22;0;0;6;13;13;22;0;0;0;24;0;0;0;0;0
S01;S_Geraldo;SF;Dis;69.5;19;23.9;1.232221022;1.100558887;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;29;0;51;0;10;0;0;0;0;0
S02;S_Geraldo;SF;Dis;67.3;68;23.9;0.443306691;0.636514168;0;12;88;88;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;0;0;0
S03;S_Geraldo;SF;Dis;73.4;84;22.9;1.10578314;1.032189957;0;25;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;6;69;0;15;0;0;3;0;0
